player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Josh Green,DAL,22,200.66,90.7184,Arizona,Australia,2,60,9.1,3,1.7,2.5,0.037,0.087,0.14,0.645,0.096,2022-23,3.0984000000000003
Josh Hart,NYK,28,193.04,97.52228,Villanova,USA,3,76,9.8,7.8,3.8,5.9,0.06,0.185,0.124,0.622,0.154,2022-23,12.959999999999999
Josh Minott,MIN,20,203.2,92.98636,Memphis,USA,4,15,3.1,1.7,0.3,10.4,0.054,0.194,0.176,0.582,0.065,2022-23,1.0177809999999998
Josh Okogie,PHX,24,193.04,96.615096,Georgia Tech,Nigeria,2,72,7.3,3.5,1.5,4.9,0.078,0.102,0.174,0.531,0.104,2022-23,1.968175
Josh Richardson,NOP,29,198.12,90.7184,Tennessee,USA,3,65,10.1,2.7,2.7,-5.2,0.026,0.087,0.18,0.555,0.16,2022-23,12.196093999999999
Johnny Juzang,UTA,22,198.12,94.800728,UCLA,USA,5,18,4.8,2.2,0.4,-17.7,0.029,0.122,0.187,0.411,0.051,2022-23,0.508891
Johnny Davis,WAS,21,193.04,88.45044,Wisconsin,USA,1,28,5.8,2.3,1,-6.2,0.02,0.125,0.192,0.446,0.1,2022-23,4.81032
John Wall,LAC,32,190.5,95.25432,Kentucky,USA,1,34,11.4,2.7,5.2,-6.6,0.018,0.096,0.259,0.497,0.38,2022-23,47.34576
John Konchar,MEM,27,195.58,95.25432,Indiana-Purdue Fort Wayne,USA,5,72,5.1,4.3,1.4,7,0.04,0.152,0.1,0.542,0.082,2022-23,2.3
Jaylen Brown,BOS,26,198.12,101.151016,California,USA,1,67,26.6,6.9,3.5,5.4,0.032,0.152,0.307,0.581,0.163,2022-23,29.776785
Jaylen Nowell,MIN,23,193.04,91.171992,Washington,USA,4,65,10.8,2.6,2,0,0.028,0.107,0.238,0.527,0.156,2022-23,1.9306809999999999
